type;id;lat;lon;tags.amenity;tags.fixme;tags.name;tags.operator;tags.brand;tags.fuel:diesel;tags.wheelchair;tags.opening_hours;tags.brand:wikidata;tags.brand:wikipedia;tags.created_by;tags.addr:city;tags.addr:housenumber;tags.addr:postcode;tags.addr:street;tags.branch;tags.compressed_air;tags.website;tags.fuel:octane_95;tags.payment:cards;tags.self_service;tags.fuel:octane_98;tags.fuel:octane_100;tags.alt_name;tags.fuel:biogas;tags.fuel:cng;tags.fuel:HGV_diesel;tags.shop;tags.addr:country;tags.payment:american_express;tags.payment:maestro;tags.payment:mastercard;tags.payment:notes;tags.payment:visa;tags.maxheight;tags.payment:cash;tags.payment:coins;tags.payment:contactless;tags.payment:dkv;tags.payment:postfinance_card;tags.payment:reka;tags.payment:routex;tags.payment:v_pay;tags.payment:visa_electron;tags.fuel:1_25;tags.fuel:1_50;tags.fuel:GTL_diesel;tags.fuel:biodiesel;tags.fuel:e10;tags.fuel:e85;tags.fuel:electricity;tags.fuel:lpg;tags.fuel:octane_91;tags.fuel:GTL_diesel:name;tags.fuel:cng:maxheight;tags.fuel:octane_95:name;tags.fuel:octane_98:name;tags.fuel:others;tags.automated;tags.tenant;tags.opening_hours:covid19;tags.fuel:adblue;tags.level;tags.phone;tags.capacity;tags.cash_withdrawal;tags.cash_withdrawal:fee;tags.cash_withdrawal:purchase_required;tags.cash_withdrawal:type;tags.source;tags.currency:CHF;tags.currency:EUR;tags.payment:avia_card;tags.addr:place;tags.access;tags.contact:phone;tags.name:de;tags.vending;tags.vending_machine;tags.wheelchair:description;tags.car_wash;tags.designation;tags.contact:addr;tags.mapillary;tags.survey:date;tags.fuel:gasoline;tags.ref;tags.contact:email;tags.contact:fax;tags.contact:website;tags.note;tags.seamark:small_craft_facility:category;tags.seamark:type;tags.payment:bebeco;tags.url;tags.payment:credit_cards;tags.old_name;tags.ethanol;tags.ele;tags.payment:twint;tags.toilets:wheelchair;tags.check_date;tags.is_in;tags.tourism;tags.payment:debit_cards;tags.addr:housename;tags.check_date:opening_hours;tags.opening_hours:signed;tags.name:en;tags.internet_access;tags.fax;tags.toilets;tags.addr:state;tags.kiosk;tags.name:fr;tags.payment:others;tags.hgv;tags.payment:uta;tags.workshop;tags.description;tags.delivery:covid19;tags.takeaway:covid19;tags.email;tags.fuel:98E5;tags.fuel:gasoil;tags.fuel:2-cycle_mix;tags.atm;tags.payment:account_cards;tags.car;tags.seamark:information;tags.payment:postcard;tags.fuel:super;tags.waterway;tags.building;tags.source:addr;tags.payment:myone;tags.name:it;tags.repair;tags.sale;tags.payment:moveri_card;tags.fuel:propane;tags.internet_access:fee;tags.fuel:octane_80;tags.payment:diners_club;tags.fuel:octane_92;tags.addr:street:fr;tags.addr:full;tags.layer;tags.fuel:octane_96;tags.fuel:octane_99;tags.payment:post.ch;tags.addr:suburb;tags.self_service:conditional;tags.addr:street:de;tags.entrance;tags.fuel:100LL;tags.fuel:JetA1;tags.payment:avia;tags.payment:diners_club_international;tags.payment:socar_card;tags.payment:tamoil_card;tags.fuel:LH2;tags.fuel:v-power_diesel;tags.fuel:benzin;tags.fee;tags.name:signed;tags.noname;tags.fuel;tags.fuel:air;tags.payment:cryptocurrencies;tags.payment:electronic_purses;tags.fuel:octane_87;tags.payment:post_finance;tags.payment:reka_card;tags.covered;tags.payment:girocard;tags.fuel:diesel_plus;tags.construction;tags.payment:shell;tags.dog;tags.payment:hubrol_card
node;7710511664;47.5587537;8.4345861;fuel;;Migrol Tankstelle Weiach;Migrol;Migrol;yes;;24/7;Q1747771;de:Migrol;;Weiach;10;8187;Kaiserstuhlerstrasse;Weiach;;https://www.migrol.ch/de/;yes;;;;;Migrol Weiach;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;7710695297;47.235038;8.1932781;fuel;;Migrol Service Menziken;Migrol;Migrol;;;24/7;Q1747771;de:Migrol;;Menziken;93;5737;Hauptstrasse;Menziken;;https://www.migrol.ch/de/;;;yes;;;Migrol Menziken;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Hofmatt-Garage Jörg Stalder;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;7710911042;47.3666153;8.3135613;fuel;;Migrol Tankstelle;Migrol;Migrol;yes;;24/7;Q1747771;de:Migrol;;Fischbach-Göslikon;2;5525;Wiedmattenstrasse;Fischbach-Göslikon;;https://www.migrol.ch/de/;yes;;yes;;;Migrol Fischbach-Göslikon;;;;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;7710912979;47.3216477;8.037042;fuel;Genaue Lage?;Migrol Tankstelle Holziken;Migrol;Migrol;yes;;24/7;Q1747771;de:Migrol;;Holziken;29;5043;Hauptstrasse;Holziken;;https://www.migrol.ch/de/;yes;;yes;;;Migrol Holziken;;;;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;7710938451;47.483277;7.5395795;fuel;;Migrol Tankstelle Ettingen;Migrol;Migrol;yes;;24/7;Q1747771;de:Migrol;;Ettingen;1;4107;Brühlmattweg;Ettingen;;https://www.migrol.ch/de/;yes;;yes;yes;;Migrol Ettingen;;;;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;7710975140;47.4492327;8.5962889;fuel;;Migrol Tankstelle AMAG Kloten;Migrol;Migrol;yes;;24/7;Q1747771;de:Migrol;;Kloten;20;8302;Steinackerstrasse;Kloten AMAG;;https://www.migrol.ch/de/;yes;;yes;yes;;Migrol AMAG Kloten;;;;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;7710986564;47.1527031;8.1164104;fuel;;Migrol Tankstelle AMAG Oberkirch;Migrol;Migrol;;;24/7;Q1747771;de:Migrol;;Oberkirch;1;6208;Neuweidstrasse;Oberkirch AMAG;;https://www.migrol.ch/de/;;;yes;;;Migrol AMAG Oberkirch;;;;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;7761067547;47.4629814;9.0219896;fuel;;Coop;Coop Mineraloel;;yes;;;;;;;;;;;;https://www.coop-pronto.ch/de/standort/sirnach/;yes;;yes;yes;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;7765697299;47.4919525;9.2444455;fuel;;Agrola;;Agrola;;;;Q397351;de:Agrola;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;7776671931;47.3667668;7.165339;fuel;;Paupe Station;Paupe Station SA;;yes;;PH,Mo-Su 00:00-24:00;;;;;;;;;yes;;yes;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;7784009538;46.3586227;6.2154636;fuel;;Eni;;Eni;;;;Q565594;en:Eni;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;7788196025;47.4399049;9.25461;fuel;;Coop Pronto;;Coop Pronto;;;;Q1129777;;;;;;;;;;;;;;;;;;;convenience;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;7797574860;47.1955173;7.5894385;fuel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;private;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;7798693088;46.7388524;7.5219397;fuel;;Oeltrans AG;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;7830137785;46.5371324;6.8287455;fuel;;AB Box SA Self Stockage;;;;;Mo-Su 06:00-22:00;;;;;32;1614;Route de Pra-Charbon;;;http://www.abbox.ch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+41792226522;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;info@abbox.ch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;7830722251;46.791587;10.2829705;fuel;;;AutoDaPosta;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;private;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;7855087037;46.2522267;10.1276734;fuel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;7855094421;46.3456599;9.5962;fuel;;Socar;;Socar;;;;Q1622293;en:SOCAR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;7897609235;47.1620064;7.2857211;fuel;;Avia;;Avia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Location is not very accurate and needs verification.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;7903295171;47.1435298;7.6673585;fuel;;LMG;;;yes;;;;;;;;;;;;www.lmg.grasswil.ch;yes;;;;;;;;;no;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;7904036275;46.3998649;8.1339393;fuel;;BP;;BP;;;;Q152057;en:BP;;;18;;Furkastrasse;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;7906538121;47.1146897;7.8652437;fuel;;Fredys Tankstelle;;;yes;;;;;;;;;;;;;yes;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;7914281885;47.3384962;8.5404282;fuel;;Hafen Wollishofen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;7922806895;47.4801086;9.5316053;fuel;;Shell Staad;Shell (Switzerland);Shell;yes;;24/7;Q110716465;;;;;;;Staad;;https://find.shell.com/ch/fuel/10023336-shell-staad/de_CH;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;
node;7923664286;47.5580273;8.498791;fuel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;7940332961;46.5007788;6.4817052;fuel;;Friderici;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;7944269385;47.1956063;8.821294;fuel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;7944269485;47.2698833;8.5878572;fuel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;7945556109;45.9852367;8.8902769;fuel;;Coop;;;yes;;;;;;Magliaso;12;6983;via Cantonale;;yes;;yes;;yes;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;7951495758;47.3811643;9.2773807;fuel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Eine Gastankstelle, aber unbekant welche Art von Gas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
node;7976103204;47.4795882;9.5281745;fuel;;Avia;Osterwalder St. Gallen AG;Avia;yes;;24/7;Q300147;de:Avia International;;Staad SG;2;9422;Hauptstrasse;;;;yes;;yes;yes;;;;;;;;yes;yes;;yes;yes;;yes;;;;yes;yes;;;;;;;;;;;;;;;;;;;;;;;+41 71 272 27 27;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;yes;;;;;;;
